,Nombre,Country,Source,Latitud,Longitud,Elevation,Fecha,Tipo,Comment,2H,18O,H3,H3Error,ExcessDeuterio,Conductivity,Precipitation,TempAir,TempWater,Vp,
98,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/2000,Precipitation,,-71.35,-10.73,2.6,,14.49,,42,13.1,,12.4,
99,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/2000,Precipitation,,-22.05,-4.37,2.58,,12.91,,30,12.1,,12,
100,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/2001,Precipitation,,-32.3,-5.23,2.09,,9.54,,49.3,11.6,,10.3,
101,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/2001,Precipitation,,-12,-2.88,2.56,,11.04,,19.3,13,,11.4,
102,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/2001,Precipitation,,-22.1,-4.8,2.05,,16.3,,82,13.5,,11.8,
103,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/2001,Precipitation,,-11.8,-2.12,1.94,,5.16,,19.3,13.6,,11.8,
104,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/2001,Precipitation,,-90.4,-11.48,1.74,,1.44,,87,13.8,,13.2,
105,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/2001,Precipitation,,-86.5,-11.01,2.19,,1.58,,47,13.3,,12.5,
106,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/2001,Precipitation,,,,,,,,40.5,13,,11.9,
107,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1988,Precipitation,,,,,,,,14,13.2,,12,
108,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1987,Precipitation,,,,,,,,,,,,
109,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1987,Precipitation,,,,,,,,,,,,
110,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1981,Precipitation,,,,6.3,,,,13,13.8,,12.6,
111,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1981,Precipitation,,,,6.1,,,,199,14,,14.9,
112,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1981,Precipitation,,,,6.2,,,,76,14,,12.8,
113,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1981,Precipitation,,-46.1,-7.36,9,,12.78,,22,13.2,,11.5,
114,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1981,Precipitation,,-54.7,-8.39,8.1,,12.42,,34,13.1,,11.6,
115,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1981,Precipitation,,,,6.2,,,,39,13,,11.5,
116,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1981,Precipitation,,-41.6,,9.1,,,,110,,,,
117,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1981,Precipitation,,,-6.74,4.3,,,,109,,,,
118,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1981,Precipitation,,,,,,,,24,,,,
119,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1982,Precipitation,,-63.7,-9.28,3.2,,10.54,,76,12.7,,11.5,
120,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1982,Precipitation,,-67.3,-9.28,12.7,,6.94,,39,13.9,,12.7,
121,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1982,Precipitation,,-66.9,-9.16,5.1,,6.38,,84,13.9,,13,
122,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1982,Precipitation,,-156.4,-21.07,4.5,,12.16,,207,13.9,,13.6,
123,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1982,Precipitation,,-68.5,-9.34,1,,6.22,,80,13.8,,13.1,
124,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1982,Precipitation,,-65.9,-9.39,7.6,,9.22,,15,13.7,,11.9,
125,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1982,Precipitation,,-47,-6.42,6.3,,4.36,,11,13.4,,11.6,
126,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1982,Precipitation,,-64.8,-8.66,6,,4.48,,18,13.2,,11.3,
127,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1982,Precipitation,,-66.9,-8.52,7,,1.26,,12,13.7,,10.5,
128,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1982,Precipitation,,-40.3,-5.48,6.7,,3.54,,106,13.6,,13,
129,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1982,Precipitation,,-47.3,-6.81,6.4,,7.18,,62,13.4,,13,
130,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1982,Precipitation,,-11.8,-2.13,6.1,,5.24,,43,13.9,,12.9,
131,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1983,Precipitation,,,,9.1,,,,7,14.1,,12.7,
132,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1983,Precipitation,,,,5.2,,,,17,14.7,,13.4,
133,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1983,Precipitation,,,,,,,,115,14.7,,13.2,
134,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1981,Precipitation,,,,4.9,,,,168,14.1,,14.7,
135,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1981,Precipitation,,,,2,,,,26,13.9,,12.3,
136,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1983,Precipitation,,,,4.1,,,,119,14.8,,13.7,
137,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1981,Precipitation,,,,,,,,2,12.5,,11.4,
138,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1979,Precipitation,,,,,,,,44,13,,10.3,
139,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1979,Precipitation,,,,,,,,43,13.4,,12.3,
140,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1979,Precipitation,,,,,,,,119,13.7,,13.4,
141,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1979,Precipitation,,,,,,,,48,13.9,,12.9,
142,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1979,Precipitation,,,,,,,,59,13.5,,12.9,
143,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1979,Precipitation,,-82.4,-12.55,8.5,,18,,46,13.3,,11.8,
144,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1979,Precipitation,,-79.2,-11.36,8.3,,11.68,,96,13.2,,11.8,
145,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1979,Precipitation,,-81.9,-11.9,14.5,,13.3,,79,13.2,,11.8,
146,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1979,Precipitation,,,,9.1,,,,84,13.7,,12.7,
147,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1979,Precipitation,,,,6.8,,,,115,14.1,,13.5,
148,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1979,Precipitation,,,,8.4,,,,14,13.3,,12.1,
149,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1980,Precipitation,,-6.6,-2.64,9.1,,14.52,,26,13.5,,11.6,
150,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1980,Precipitation,,-14,-0.1,7.6,,-13.2,,41,13.3,,12.4,
151,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1980,Precipitation,,-36.2,-5.4,4.7,,7,,28,14.3,,12.6,
152,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1980,Precipitation,,-29.3,-5.53,5.8,,14.94,,41,14.2,,12.6,
153,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1980,Precipitation,,-78.7,-10.47,6.1,,5.06,,36,14.2,,13.1,
154,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1980,Precipitation,,-69.8,-9.01,5.4,,2.28,,74,14,,12.6,
155,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1980,Precipitation,,,,,,,,10,13.7,,11.3,
156,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1980,Precipitation,,-48.4,-7.26,6.6,,9.68,,37,12.8,,11,
157,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1980,Precipitation,,-37.7,-6.55,7.4,,14.7,,43,13.8,,12,
158,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1980,Precipitation,,,,7.7,,,,61,13.7,,12.3,
159,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1980,Precipitation,,-141.5,-18.58,6.3,,7.14,,49,13.3,,11.8,
160,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1980,Precipitation,,,,9.1,,,,99,13,,12.6,
161,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1983,Precipitation,,,,4.6,,,,208,14.4,,13.8,
162,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1983,Precipitation,,,,4.3,,,,53,13.7,,12.4,
163,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1987,Precipitation,,,,,,,,149,,,,
164,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1985,Precipitation,,-77.4,-11.18,5.5,,12.04,,158,12.9,,11.8,
165,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1985,Precipitation,,-82.4,-11.57,4.4,,10.16,,74,12.7,,12.3,
166,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1985,Precipitation,,-49.7,-7.14,6.1,,7.42,,35,12.4,,11.2,
167,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1986,Precipitation,,-18.9,-4.03,4.2,,13.34,,8,13.1,,11.4,
